Problem,Solver,Mean_Final_Fitness,Std_Final_Fitness,Min_Final_Fitness,Max_Final_Fitness,Num_Runs
CMPB_DOSC,CCPSO.out,-38.57214874116979,21.988927998416255,-70.0,9.074252197583007,30
CMPB_SODC,CCPSO.out,-68.17543772262742,0.9370486493514901,-68.57264067319052,-65.88957155861905,30
CMPB_SOSC,CCPSO.out,-55.79793319554953,3.00187444781121,-61.70077156153623,-54.32222360405286,30
G01,CCPSO.out,-5.861707736260894,0.7574579237836221,-6.0,-1.851232087826813,30
G02,CCPSO.out,-0.07164723874704303,0.01065640281276191,-0.0986718358850611,-0.0494615546078929,30
G03,CCPSO.out,-2991.8726635993917,1553.302630240488,-5077.867618627367,-1373.2825074967332,6
G04,CCPSO.out,-27888.145380212463,4629.047134261091,-32217.431037100003,-22302.761885500004,30
G05,CCPSO.out,506.65393739706894,277.9666378576049,94.32774632350733,1172.9130343219258,30
G06,CCPSO.out,1241000.0,0.0,1241000.0,1241000.0,30
