Problem  , Solver   , Run_ID, Final_Iteration, Final_Diversity      , Final_Feasibility, Early_Accuracy     , Final_Accuracy     , Improvement
CMPB_SODC, CCPSO.out,      1,            1000, 3.734822064239368e-06,             100.0, -53.721636785520246, -48.319458244984006, 5.402178540536241
CMPB_SODC, CCPSO.out,      2,            1000, 2.013639752496956e-15,             100.0, -45.37355990431728 , -45.37356570243941 , -5.798122124645033e-06
CMPB_SODC, CCPSO.out,      3,            1000, 2.013639752496956e-15,             100.0, -45.373559045675385, -45.37356570243941 , -6.656764021784056e-06
CMPB_SODC, CCPSO.out,      4,            1000, 2.013639752496956e-15,             100.0, -45.37355795336057 , -45.37356570243941 , -7.749078839935919e-06
CMPB_SODC, CCPSO.out,      5,            1000, 0.0001533130070798   ,             100.0, -59.53005544751944 , -40.008316343256126, 19.52173910426331
CMPB_SODC, CCPSO.out,      6,            1000, 0.2722617235332999   ,             100.0, -53.721651877026325, -53.72165516875481 , -3.2917284826794457e-06
CMPB_SODC, CCPSO.out,      7,            1000, 1.9582565695688792   ,              97.5, -49.71234207216568 , -53.72165516875481 , -4.009313096589125
CMPB_SODC, CCPSO.out,      8,            1000, 8.676916779265165e-15,             100.0, -59.53010940214339 , -59.530118467005096, -9.064861707486216e-06
CMPB_SODC, CCPSO.out,      9,            1000, 8.676916779265165e-15,             100.0, -59.53011167136627 , -59.530118467005096, -6.795638824996786e-06
CMPB_SODC, CCPSO.out,     10,            1000, 8.676916779265165e-15,             100.0, -59.53010309782527 , -55.06361130313488 , 4.466491794690391
